geo_loc_name	count	center_latitude	center_longitude	radius_meters	status	inferred_lat	inferred_lon
KOR: Busan	3	35.1634	128.9646	0	success	35.1799528	129.0752365
Malawi: Zomba	6	15.2769	35.3989	0	success	-15.3863208	35.3268273
Mexico: Baja California Sur, Guerrero Negro	1	27.8	-114.05	0	success	27.9709506	-114.036389
Mongolia	12	51.01	100.45000000000003	0.0	success	46.8250388	103.8499736
NOR: Luster Municipality	4	61.6754	7.21196	0	success	43.4651517	-80.5218689
Namibia	19	-23.455607894742105	15.099359649121054	109110.4	success	-23.2335499	17.3231107
Nepal: Mustang Region	14	28.721264169285718	83.91442104857141	39.6	success	29.2041398	83.7964807
Northeast Atlantic Ocean	2	25.20008	-37.342535	41125.0	success	-3.72122	-38.5108114
Puerto Rico: Adjuntas, Adjuntas	1	18.1741	-66.7996	0	success	18.1625596	-66.7231363
Puerto Rico: Naguabo, Naguabo	1	18.2758	-65.7853	0	success	18.2114755	-65.7362104
Puerto Rico: Rio Grande	105	18.32099999999997	-65.81720000000014	0.0	success	18.3474409	-65.8163814
Republic of Kiribati: Starbuck Island	4	-5.641667	-155.877778	0	success	-5.6430789	-155.8735282
Russia: Krasnoyarsk Krai	2	69.3833	86.15	0	success	63.3233807	97.0979974
Russia: Sakha Republic	4	67.75829999999999	142.3333	819255.4	success	66.941626	129.642371
Russia: Yamalo-Nenets Autonomous Okrug	3	66.5166	66.6	0	success	67.1471631	74.3415488
Santa Barbara, CA, United States	1	34.4149	-119.841	0	success	34.4221319	-119.702667
Singapore	11	1.3712557411818185	103.74115017272729	9402.5	success	1.357107	103.8194992
Singapore: Bukit Timah Nature Reserve	3	1.352028	103.781694	0	success	1.3540779	103.7794401
Singapore: West Coast Park	3	1.29545	103.763964	0	success	1.2883533	103.7732812
Thailand: Chiang Ma	1	19.4571	98.9901	0	success	18.6951714	98.4462684
Thailand: Chiang Rai	1	19.6813	100.1978	0	success	19.9068867	99.8332739
Thailand: Mae Hong Son	2	17.8407	97.83525	14952.3	success	19.3927456	98.2031112
USA: AK, Denali	88	68.30321747727265	-149.56479827272722	492559.3	success	63.069115	-151.006239
USA: AK, Fairbanks North Star	89	64.87590404494385	-147.81119078651705	34152.2	success	64.8649039	-146.7751619
USA: AK, North Slope	85	68.78496129411756	-149.99362051764703	374312.4	success	69.5335129	-153.8220681
USA: AK, Southeast Fairbanks	4	63.88112	-145.75136	0	success	63.9412119	-143.7303712
USA: AL, Baldwin County	1	31.023528	-87.685278	0	success	30.5677527	-87.7324392
USA: AL, Bibb	6	32.95047	-87.393259	0	success	32.971079	-87.1227088
USA: AL, Choctaw	8	31.853861	-88.161181	0	success	31.9908095	-88.2821326
USA: AL, Greene	5	32.541727	-87.803877	0	success	32.8620514	-87.9915392
USA: AL, Weeks Bay	1	30.415833	-87.818611	0	success	30.3952571	-87.8320161
USA: AZ, Pima	4	31.91068	-110.83549	0	success	32.1112624	-111.6546163
